date,units,month_cum_units,slab_rate,energy_cost,vat,recharge_amount,fixed_charge,balance,is_recharge_day
2026-01-01,3,3,4.63,13.89,0.69,0.0,0.0,295.42,False
2026-01-02,4,7,4.63,18.52,0.93,0.0,0.0,275.97,False
2026-01-03,5,12,4.63,23.15,1.16,0.0,0.0,251.66,False
2026-01-04,5,17,4.63,23.15,1.16,0.0,0.0,227.35,False
2026-01-05,4,21,4.63,18.52,0.93,0.0,0.0,207.9,False
2026-01-06,5,26,4.63,23.15,1.16,0.0,0.0,183.59,False
2026-01-07,6,32,4.63,27.78,1.39,0.0,0.0,154.42,False
2026-01-08,5,37,4.63,23.15,1.16,0.0,0.0,130.11,False
2026-01-09,3,40,4.63,13.89,0.69,300.0,82.0,333.53,True
2026-01-10,3,43,4.63,13.89,0.69,0.0,0.0,318.95,False
2026-01-11,4,47,4.63,18.52,0.93,0.0,0.0,299.5,False
2026-01-12,4,51,4.63,18.52,0.93,0.0,0.0,280.05,False
2026-01-13,4,55,4.63,18.52,0.93,0.0,0.0,260.6,False
2026-01-14,5,60,4.63,23.15,1.16,0.0,0.0,236.29,False
2026-01-15,2,62,4.63,9.26,0.46,0.0,0.0,226.57,False
2026-01-16,5,67,4.63,23.15,1.16,0.0,0.0,202.26,False
2026-01-17,6,73,4.63,27.78,1.39,0.0,0.0,173.09,False
2026-01-18,4,77,5.26,21.04,1.05,0.0,0.0,151.0,False
2026-01-19,5,82,5.26,26.3,1.32,300.0,0.0,423.38,True
2026-01-20,3,85,5.26,15.78,0.79,0.0,0.0,406.81,False
2026-01-21,4,89,5.26,21.04,1.05,0.0,0.0,384.72,False
2026-01-22,4,93,5.26,21.04,1.05,0.0,0.0,362.63,False
2026-01-23,4,97,5.26,21.04,1.05,0.0,0.0,340.54,False
2026-01-24,3,100,5.26,15.78,0.79,0.0,0.0,323.97,False
2026-01-25,4,104,5.26,21.04,1.05,0.0,0.0,301.88,False
2026-01-26,4,108,5.26,21.04,1.05,0.0,0.0,279.79,False
2026-01-27,3,111,5.26,15.78,0.79,0.0,0.0,263.22,False
2026-01-28,5,116,5.26,26.3,1.32,0.0,0.0,235.6,False
2026-01-29,5,121,5.26,26.3,1.32,0.0,0.0,207.98,False
2026-01-30,4,125,5.26,21.04,1.05,300.0,0.0,485.89,True
2026-01-31,4,129,5.26,21.04,1.05,0.0,0.0,463.8,False
2026-02-01,6,6,4.63,27.78,1.39,0.0,0.0,434.63,False
2026-02-02,5,11,4.63,23.15,1.16,0.0,0.0,410.32,False
2026-02-03,4,15,4.63,18.52,0.93,0.0,0.0,390.87,False
2026-02-04,5,20,4.63,23.15,1.16,0.0,0.0,366.56,False
2026-02-05,5,25,4.63,23.15,1.16,0.0,0.0,342.25,False
2026-02-06,6,31,4.63,27.78,1.39,0.0,0.0,313.08,False
2026-02-07,2,33,4.63,9.26,0.46,400.0,82.0,621.36,True
2026-02-08,5,38,4.63,23.15,1.16,0.0,0.0,597.05,False
2026-02-09,5,43,4.63,23.15,1.16,0.0,0.0,572.74,False
2026-02-10,6,49,4.63,27.78,1.39,0.0,0.0,543.57,False
2026-02-11,6,55,4.63,27.78,1.39,0.0,0.0,514.4,False
2026-02-12,7,62,4.63,32.41,1.62,0.0,0.0,480.37,False
2026-02-13,6,68,4.63,27.78,1.39,0.0,0.0,451.2,False
2026-02-14,5,73,4.63,23.15,1.16,0.0,0.0,426.89,False
2026-02-15,7,80,5.26,36.82,1.84,0.0,0.0,388.23,False
2026-02-16,6,86,5.26,31.56,1.58,0.0,0.0,355.09,False
2026-02-17,7,93,5.26,36.82,1.84,0.0,0.0,316.43,False
2026-02-18,5,98,5.26,26.3,1.32,300.0,0.0,588.81,True
2026-02-19,6,104,5.26,31.56,1.58,0.0,0.0,555.67,False
2026-02-20,5,109,5.26,26.3,1.32,0.0,0.0,528.05,False
2026-02-21,7,116,5.26,36.82,1.84,0.0,0.0,489.39,False
2026-02-22,5,121,5.26,26.3,1.32,0.0,0.0,461.77,False
2026-02-23,6,127,5.26,31.56,1.58,0.0,0.0,428.63,False
2026-02-24,6,133,5.26,31.56,1.58,0.0,0.0,395.49,False
2026-02-25,8,141,5.26,42.08,2.1,400.0,0.0,751.31,True
2026-02-26,5,146,5.26,26.3,1.32,0.0,0.0,723.69,False
2026-02-27,4,150,5.26,21.04,1.05,0.0,0.0,701.6,False
